"E","U"
"Universal","يونيورسل"
"unknown","نامعلوم"
"Unloading","انلوڈنگ"
"Uns","انس"
"Up","اپ"
"Upper","اپر"
"ur","ال"
"Urdu","اردو"
"us","بجرم"
"Usama","اسامہ"
"Use","استعمال"
"Used","استعمالشدہ"
"Usman","عثمان"
"UT","يوٹى"
"uz","از"
"V","وى"
"Vahari","وہاڑى"
"Vains","وينس"
"varhari","وہاڑى"
"Vehari","وہاڑى"
"Vehicle","وھيکل"
"Vehicles","وہيکلز"
"W","ڈبليو"
"W/F","ويسٹ فيکٹرى"
"W/O","زوجہ"
"W/P","ويسٹ پلانٹ"
"Waali","والى"
"Waday","وڈے"
"Wadday","وڈے"
"Wadi","وادى"
"Wages","ويجز"
"Wahab","وہاب"
"Waheed","وحيد"
"Wahid","واحد"
"Wains","وينس"
"Waiste","ويسٹ"
"Wajahat","وجاہت"
"Wajbar","وجبر"
"Wajid","واجد"
"Wakeel","وکيل"
"Wal","وال"
"Wala","والا"
"Walayat","ولائت"
"Wali","والى"
"Walli","ولى"
"waly","والے"
"Wan","وان"
"Wanoka","ونوکہ"
"Wanooka","ونوکہ"
"Wapda","واپڈا"
"Waqar","وقار"
"Waqas","وقاص"
"Waqas-ur-Rehman","وقاص الرحمٰن"
"Ward","وارڈ"
"Wardi","وردى"
"Warid","وادر"
"Waris","وارث"
"Warraich","ورائچ"
"Waryam","وريام"
"WASA","واسا"
"Wasava","وساوا"
"Wasawa","وساوا"
"Waseem","وسيم"
"Wasim","وسيم"
"Waste","ويسٹ"
"Waste,","ويسٹ"
"Wasts","ويسٹس"
"Wasu","واصو"
"Watch","واچ"
"Wate","ويٹ"
"Water","واٹر"
"Wave","ويو"
"Wazeer","وزیر"
"Wealth","ويلتھ"
"Weapon","ويپن"
"Weaving","ويونگ"
"Wedding","شادی"
"Weigh","وزن"
"Weighing","وينگ"
"Weighment","وزن"
"Weight","وزن"
"Welfair","ويلفئر"
"Welfare","ويلفيئر"
"West","غربى"
"Western","غربى"
"Wheat","گندم"
"White","وائٹ"
"Widow","بيوہ"
"Wijhalkay","وجھلکے"
"Wind","ونڈ"
"Winding","وائنڈنگ"
"Window","المارى"
"With","ود"
"without","کے بغير"
"Women","خواتين"
"Woolen","وولن"
"Work","ورک"
"Workers","ورکرز"
"Work-in-progress","ورک ان پراگرس"
"Works","ورکس"
"Works,","ورکس"
"Workshop","ورکشاپ"
"World","ورلڈ"
"Writer","رائٹر"
"X","ايکس"
"Y","وائى"
"yahoo","یاہو"
"Yahya","يحيٰى"
"Yameen","يامين"
"Yamin","يامين"
"Yaqoob","يعقوب"
"Yaqub","يعقوب"
"YAR","يار"
"Yarn","يارن"
"Yarns","يارنز"
"Yaseen","ياسين"
"Yasin","ياسين"
"Yasmeen","ياسمين"
"Year","سال"
"Younas","يونس"
"Younis","يونس"
"Younus","يونس"
"Yousaf","يوسف"
"Yousif","يوسف"
"Z","زيڈ"
"Zada","زادا"
"Zafar","ظفر"
"Zafarullah","ظفر اللہ"
"Zafrullah","ظفر اللہ"
"Zahara","زہرہ"
"Zaheer","ظہير"
"Zaheer-ud-Din","ظہيرالدين"
"Zahid","زاہد"
"Zahoor","ظہور"
"Zahra","زہرہ"
"Zaib","زيب"
"Zaidi","زيدى"
"Zain","زين"
"Zainab","زينب"
"Zainbia","زينبيہ"
"Zaineb","زينب"
"Zakat","زکٰوة"
"Zakir","ذاکر"
"Zam","ز م"
"Zaman","زمان"
"Zameer","ضمير"
"Zamir","ضمير"
"Zamir-ul-Hassan","ضميرالحسن"
"Zamurd","زمرد"
"Zanabia","زينبيہ"
"Zareen","زرين"
"Zargam","ضرغام"
"Zawar","زوار"
"Zeb","زيب"
"Zeba","زيبا"
"Zeeshan","ذيشان"
"Zehra","زہرہ"
"Zeshan","ذيشان"
"Zia","ضيا"
"Zia-Ullah","ضيا اللہ"
"Zil","زل"
"Zila","ضلع"
"Zolfiqar","ذوالفقار"
"Zone","زون"
"Zong","زونگ"
"Zubair","زبير"
"Zuhra","زہرا"
"Zulafqar","ذوالفقار"
"Zulfiqar","ذوالفقار"
"ZulfiqarAli","ذوالفقارعلى"
"Zulifqar","ذوالفقار"
"Zulqarnain","ذوالقرنين"
"Zum","زم"
"Zurah","زہرہ"
"Per","فی"
"Isntalment","قسط"
"Rayan","ریان"
"Arab","عرب"
"Viagnor","ویگنار"
"Jazz","جاز"
"Month","ماہ"
"Febuary","فروری"
"Life","لالف"
"Ms","مس"
"Sataar","ستار"
"Agriculture","زرعی"
"Mudrisa","مدرسہ"
"Entries","انٹریز"
"Maaf","معاف"
"Parents","والدین"
"Contract","ٹھیکہ"
"Accor","ایکڑ"
"Kanal","کینال"
"Trasfer","ٹرانسفر"
"Alfa","الفا"
"App","ایپلیکیشن"
"March","مارچ"
"Molana","مولانا"
"Ulrehman","الرحمٰن"
"April","اپریل"
"Saddiqa","صدیقہ"
"June","جون"
"Mamona","میمونہ"
"Qurbani","قربانی"
"Maher","مہر"
"Augast","اگست"
"Refrence","حوالہ"
"November","نومبر"
"Octobar","اکتوبر"
"September","ستمبر"
"October","اکتبوبر"
"December","دسبمر"
"Aness","انیس"
"Own","عون"
"Registration","رجسٹریشن"
"Traival","ٹریول"
"Janan","جنان"
"Registry","رجسٹری"
"Gari","گاڑی"
"Arslan","ارسلان"
"Marla","مرلہ"
"Rayal","ریال"
"Truck","ثدک"
"Reveived","وصول"
"Maria","ماریہ"
"Suzuki","سوزوکی"
"Sana","ثنا"
"Aksha","عکشا"
"Abbasi","عباسی"
"professional","پروفیشنل"
"Ahsaan","احسان"
"cow","گاے"
"Dua","دعا"
"Sumia","ثُمیہ"
"Statment","سٹیٹمنٹ"
"Shifa","شفا"
"Banu","بنوں"
"Minimum","زیادہ کمی"
"Balance","بیلنس"
